# a    t_Gyr
5.99999e-06 2.24698e-07
5.99999e-06 4.49397e-07
5.99999e-06 6.74095e-07
5.99999e-06 8.98794e-07
5.99999e-06 1.12349e-06
5.99999e-06 1.34819e-06
5.99999e-06 1.57289e-06
5.99999e-06 1.79759e-06
5.99999e-06 2.02229e-06
5.99999e-06 2.24698e-06
5.99999e-06 2.47168e-06
5.99999e-06 2.69638e-06
5.99999e-06 2.92108e-06
5.99999e-06 3.14578e-06
5.99999e-06 3.37048e-06
5.99999e-06 3.59518e-06
5.99999e-06 3.81987e-06
5.99999e-06 4.04457e-06
5.99999e-06 4.26927e-06
5.99999e-06 4.49397e-06
5.99999e-06 4.71867e-06
5.99999e-06 4.94337e-06
5.99999e-06 5.16807e-06
5.99999e-06 5.39276e-06
5.99999e-06 5.61746e-06
5.99999e-06 5.84216e-06
5.99999e-06 6.06686e-06
5.99999e-06 6.29156e-06
5.99999e-06 6.51626e-06
5.99999e-06 6.74095e-06
5.99999e-06 6.96565e-06
5.99999e-06 7.19035e-06
5.99999e-06 7.41505e-06
5.99999e-06 7.63975e-06
5.99999e-06 7.86445e-06
5.99999e-06 8.08915e-06
5.99999e-06 8.31384e-06
5.99999e-06 8.53854e-06
5.99999e-06 8.76324e-06
5.99999e-06 8.98794e-06
5.99999e-06 9.21264e-06
5.99999e-06 9.43734e-06
5.99999e-06 9.66204e-06
5.99999e-06 9.88673e-06
5.99999e-06 1.01114e-05
5.99999e-06 1.03361e-05
5.99999e-06 1.05608e-05
5.99999e-06 1.07855e-05
5.99999e-06 1.10102e-05
5.99999e-06 1.12349e-05
5.99999e-06 1.14596e-05
5.99999e-06 1.16843e-05
5.99999e-06 1.1909e-05
5.99999e-06 1.21337e-05
5.99999e-06 1.23584e-05
5.99999e-06 1.25831e-05
5.99999e-06 1.28078e-05
5.99999e-06 1.30325e-05
5.99999e-06 1.32572e-05
5.99999e-06 1.34819e-05
5.99999e-06 1.37066e-05
5.99999e-06 1.39313e-05
5.99999e-06 1.4156e-05
5.99999e-06 1.43807e-05
5.99999e-06 1.46054e-05
5.99999e-06 1.48301e-05
5.99999e-06 1.50548e-05
5.99999e-06 1.52795e-05
5.99999e-06 1.55042e-05
5.99999e-06 1.57289e-05
5.99999e-06 1.59536e-05
5.99999e-06 1.61783e-05
5.99999e-06 1.6403e-05
5.99999e-06 1.66277e-05
5.99999e-06 1.68524e-05
5.99999e-06 1.70771e-05
5.99999e-06 1.73018e-05
5.99999e-06 1.75265e-05
5.99999e-06 1.77512e-05
5.99999e-06 1.79759e-05
5.99999e-06 1.82006e-05
5.99999e-06 1.84253e-05
5.99999e-06 1.865e-05
5.99999e-06 1.88747e-05
5.99999e-06 1.90994e-05
5.99999e-06 1.93241e-05
5.99999e-06 1.95488e-05
5.99999e-06 1.97735e-05
5.99999e-06 1.99982e-05
5.99999e-06 2.02229e-05
5.99999e-06 2.04476e-05
5.99999e-06 2.06723e-05
5.99999e-06 2.0897e-05
5.99999e-06 2.11217e-05
5.99999e-06 2.13464e-05
5.99999e-06 2.15711e-05
5.99999e-06 2.17958e-05
5.99999e-06 2.20205e-05
5.99999e-06 2.22452e-05
5.99999e-06 2.24698e-05
5.99999e-06 2.26945e-05
5.99999e-06 2.29192e-05
5.99999e-06 2.31439e-05
5.99999e-06 2.33686e-05
5.99999e-06 2.35933e-05
5.99999e-06 2.3818e-05
5.99999e-06 2.40427e-05
5.99999e-06 2.42674e-05
5.99999e-06 2.44921e-05
5.99999e-06 2.47168e-05
5.99999e-06 2.49415e-05
5.99999e-06 2.51662e-05
5.99999e-06 2.53909e-05
5.99999e-06 2.56156e-05
5.99999e-06 2.58403e-05
5.99999e-06 2.6065e-05
5.99999e-06 2.62897e-05
5.99999e-06 2.65144e-05
5.99999e-06 2.67391e-05
5.99999e-06 2.69638e-05
5.99999e-06 2.71885e-05
5.99999e-06 2.74132e-05
5.99999e-06 2.76379e-05
5.99999e-06 2.78626e-05
5.99999e-06 2.80873e-05
5.99999e-06 2.8312e-05
5.99999e-06 2.85367e-05
5.99999e-06 2.87614e-05
5.99999e-06 2.89861e-05
5.99999e-06 2.92108e-05
5.99999e-06 2.94355e-05
5.99999e-06 2.96602e-05
5.99999e-06 2.98849e-05
5.99999e-06 3.01096e-05
5.99999e-06 3.03343e-05
5.99999e-06 3.0559e-05
5.99999e-06 3.07837e-05
5.99999e-06 3.10084e-05
5.99999e-06 3.12331e-05
5.99999e-06 3.14578e-05
5.99999e-06 3.16825e-05
5.99999e-06 3.19072e-05
5.99999e-06 3.21319e-05
5.99999e-06 3.23566e-05
5.99999e-06 3.25813e-05
5.99999e-06 3.2806e-05
5.99999e-06 3.30307e-05
5.99999e-06 3.32554e-05
5.99999e-06 3.34801e-05
5.99999e-06 3.37048e-05
5.99999e-06 3.39295e-05
5.99999e-06 3.41542e-05
5.99999e-06 3.43789e-05
5.99999e-06 3.46036e-05
5.99999e-06 3.48283e-05
5.99999e-06 3.5053e-05
5.99999e-06 3.52777e-05
5.99999e-06 3.55024e-05
5.99999e-06 3.57271e-05
5.99999e-06 3.59518e-05
5.99999e-06 3.61765e-05
5.99999e-06 3.64012e-05
5.99999e-06 3.66259e-05
5.99999e-06 3.68506e-05
5.99999e-06 3.70753e-05
5.99999e-06 3.72999e-05
5.99999e-06 3.75246e-05
5.99999e-06 3.77493e-05
5.99999e-06 3.7974e-05
5.99999e-06 3.81987e-05
5.99999e-06 3.84234e-05
5.99999e-06 3.86481e-05
5.99999e-06 3.88728e-05
5.99999e-06 3.90975e-05
5.99999e-06 3.93222e-05
5.99999e-06 3.95469e-05
5.99999e-06 3.97716e-05
5.99999e-06 3.99963e-05
5.99999e-06 4.0221e-05
5.99999e-06 4.04457e-05
5.99999e-06 4.06704e-05
5.99999e-06 4.08951e-05
5.99999e-06 4.11198e-05
5.99999e-06 4.13445e-05
5.99999e-06 4.15692e-05
5.99999e-06 4.17939e-05
5.99999e-06 4.20186e-05
5.99999e-06 4.22433e-05
5.99999e-06 4.2468e-05
5.99999e-06 4.26927e-05
5.99999e-06 4.29174e-05
5.99999e-06 4.31421e-05
5.99999e-06 4.33668e-05
5.99999e-06 4.35915e-05
5.99999e-06 4.38162e-05
5.99999e-06 4.40409e-05
5.99999e-06 4.42656e-05
5.99999e-06 4.44903e-05
5.99999e-06 4.4715e-05
5.99999e-06 4.49397e-05
5.99999e-06 4.51644e-05
5.99999e-06 4.53891e-05
5.99999e-06 4.56138e-05
5.99999e-06 4.58385e-05
5.99999e-06 4.60632e-05
5.99999e-06 4.62879e-05
5.99999e-06 4.65126e-05
5.99999e-06 4.67373e-05
5.99999e-06 4.6962e-05
5.99999e-06 4.71867e-05
5.99999e-06 4.74114e-05
5.99999e-06 4.76361e-05
5.99999e-06 4.78608e-05
5.99999e-06 4.80855e-05
5.99999e-06 4.83102e-05
5.99999e-06 4.85349e-05
5.99999e-06 4.87596e-05
5.99999e-06 4.89843e-05
5.99999e-06 4.9209e-05
5.99999e-06 4.94337e-05
5.99999e-06 4.96584e-05
5.99999e-06 4.98831e-05
5.99999e-06 5.01078e-05
5.99999e-06 5.03325e-05
5.99999e-06 5.05572e-05
5.99999e-06 5.07819e-05
5.99999e-06 5.10066e-05
5.99999e-06 5.12313e-05
5.99999e-06 5.1456e-05
5.99999e-06 5.16807e-05
5.99999e-06 5.19054e-05
5.99999e-06 5.213e-05
5.99999e-06 5.23547e-05
5.99999e-06 5.25794e-05
5.99999e-06 5.28041e-05
5.99999e-06 5.30288e-05
5.99999e-06 5.32535e-05
5.99999e-06 5.34782e-05
5.99999e-06 5.37029e-05
5.99999e-06 5.39276e-05
5.99999e-06 5.41523e-05
5.99999e-06 5.4377e-05
5.99999e-06 5.46017e-05
5.99999e-06 5.48264e-05
5.99999e-06 5.50511e-05
5.99999e-06 5.52758e-05
5.99999e-06 5.55005e-05
5.99999e-06 5.57252e-05
5.99999e-06 5.59499e-05
5.99999e-06 5.61746e-05
5.99999e-06 5.63993e-05
5.99999e-06 5.6624e-05
5.99999e-06 5.68487e-05
5.99999e-06 5.70734e-05
5.99999e-06 5.72981e-05
5.99999e-06 5.75228e-05
5.99999e-06 5.77475e-05
5.99999e-06 5.79722e-05
5.99999e-06 5.81969e-05
5.99999e-06 5.84216e-05
5.99999e-06 5.86463e-05
5.99999e-06 5.8871e-05
5.99999e-06 5.90957e-05
5.99999e-06 5.93204e-05
5.99999e-06 5.95451e-05
5.99999e-06 5.97698e-05
5.99999e-06 5.99945e-05
5.99999e-06 6.02192e-05
5.99999e-06 6.04439e-05
5.99999e-06 6.06686e-05
5.99999e-06 6.08933e-05
5.99999e-06 6.1118e-05
5.99999e-06 6.13427e-05
5.99999e-06 6.15674e-05
5.99999e-06 6.17921e-05
5.99999e-06 6.20168e-05
5.99999e-06 6.22415e-05
5.99999e-06 6.24662e-05
5.99999e-06 6.26909e-05
5.99999e-06 6.29156e-05
5.99999e-06 6.31403e-05
5.99999e-06 6.3365e-05
5.99999e-06 6.35897e-05
5.99999e-06 6.38144e-05
5.99999e-06 6.40391e-05
5.99999e-06 6.42638e-05
5.99999e-06 6.44885e-05
5.99999e-06 6.47132e-05
5.99999e-06 6.49379e-05
5.99999e-06 6.51626e-05
5.99999e-06 6.53873e-05
5.99999e-06 6.5612e-05
5.99999e-06 6.58367e-05
5.99999e-06 6.60614e-05
5.99999e-06 6.62861e-05
5.99999e-06 6.65108e-05
5.99999e-06 6.67355e-05
5.99999e-06 6.69602e-05
5.99999e-06 6.71848e-05
5.99999e-06 6.74095e-05
5.99999e-06 6.76342e-05
5.99999e-06 6.78589e-05
5.99999e-06 6.80836e-05
5.99999e-06 6.83083e-05
5.99999e-06 6.8533e-05
5.99999e-06 6.87577e-05
5.99999e-06 6.89824e-05
5.99999e-06 6.92071e-05
5.99999e-06 6.94318e-05
5.99999e-06 6.96565e-05
5.99999e-06 6.98812e-05
5.99999e-06 7.01059e-05
5.99999e-06 7.03306e-05
5.99999e-06 7.05553e-05
5.99999e-06 7.078e-05
5.99999e-06 7.10047e-05
5.99999e-06 7.12294e-05
5.99999e-06 7.14541e-05
5.99999e-06 7.16788e-05
5.99999e-06 7.19035e-05
5.99999e-06 7.21282e-05
5.99999e-06 7.23529e-05
5.99999e-06 7.25776e-05
5.99999e-06 7.28023e-05
5.99999e-06 7.3027e-05
5.99999e-06 7.32517e-05
5.99999e-06 7.34764e-05
5.99999e-06 7.37011e-05
5.99999e-06 7.39258e-05
5.99999e-06 7.41505e-05
5.99999e-06 7.43752e-05
5.99999e-06 7.45999e-05
5.99999e-06 7.48246e-05
5.99999e-06 7.50493e-05
5.99999e-06 7.5274e-05
5.99999e-06 7.54987e-05
5.99999e-06 7.57234e-05
5.99999e-06 7.59481e-05
5.99999e-06 7.61728e-05
5.99999e-06 7.63975e-05
5.99999e-06 7.66222e-05
5.99999e-06 7.68469e-05
5.99999e-06 7.70716e-05
5.99999e-06 7.72963e-05
5.99999e-06 7.7521e-05
5.99999e-06 7.77457e-05
5.99999e-06 7.79704e-05
5.99999e-06 7.81951e-05
5.99999e-06 7.84198e-05
5.99999e-06 7.86445e-05
5.99999e-06 7.88692e-05
5.99999e-06 7.90939e-05
5.99999e-06 7.93186e-05
5.99999e-06 7.95433e-05
5.99999e-06 7.9768e-05
5.99999e-06 7.99927e-05
5.99999e-06 8.02174e-05
5.99999e-06 8.04421e-05
5.99999e-06 8.06668e-05
5.99999e-06 8.08915e-05
5.99999e-06 8.11162e-05
5.99999e-06 8.13409e-05
5.99999e-06 8.15656e-05
5.99999e-06 8.17903e-05
5.99999e-06 8.20149e-05
5.99999e-06 8.22396e-05
5.99999e-06 8.24643e-05
5.99999e-06 8.2689e-05
5.99999e-06 8.29137e-05
5.99999e-06 8.31384e-05
5.99999e-06 8.33631e-05
5.99999e-06 8.35878e-05
5.99999e-06 8.38125e-05
5.99999e-06 8.40372e-05
5.99999e-06 8.42619e-05
5.99999e-06 8.44866e-05
5.99999e-06 8.47113e-05
5.99999e-06 8.4936e-05
5.99999e-06 8.51607e-05
5.99999e-06 8.53854e-05
5.99999e-06 8.56101e-05
5.99999e-06 8.58348e-05
5.99999e-06 8.60595e-05
5.99999e-06 8.62842e-05
5.99999e-06 8.65089e-05
5.99999e-06 8.67336e-05
5.99999e-06 8.69583e-05
5.99999e-06 8.7183e-05
5.99999e-06 8.74077e-05
5.99999e-06 8.76324e-05
5.99999e-06 8.78571e-05
5.99999e-06 8.80818e-05
5.99999e-06 8.83065e-05
5.99999e-06 8.85312e-05
5.99999e-06 8.87559e-05
5.99999e-06 8.89806e-05
5.99999e-06 8.92053e-05
5.99999e-06 8.943e-05
5.99999e-06 8.96547e-05
5.99999e-06 8.98794e-05
5.99999e-06 9.01041e-05
5.99999e-06 9.03288e-05
5.99999e-06 9.05535e-05
5.99999e-06 9.07782e-05
5.99999e-06 9.10029e-05
5.99999e-06 9.12276e-05
5.99999e-06 9.14523e-05
5.99999e-06 9.1677e-05
5.99999e-06 9.19017e-05
5.99999e-06 9.21264e-05
5.99999e-06 9.23511e-05
5.99999e-06 9.25758e-05
5.99999e-06 9.28005e-05
5.99999e-06 9.30252e-05
5.99999e-06 9.32499e-05
5.99999e-06 9.34746e-05
5.99999e-06 9.36993e-05
5.99999e-06 9.3924e-05
5.99999e-06 9.41487e-05
5.99999e-06 9.43734e-05
5.99999e-06 9.45981e-05
5.99999e-06 9.48228e-05
5.99999e-06 9.50475e-05
5.99999e-06 9.52722e-05
5.99999e-06 9.54969e-05
5.99999e-06 9.57216e-05
5.99999e-06 9.59463e-05
5.99999e-06 9.6171e-05
5.99999e-06 9.63957e-05
5.99999e-06 9.66204e-05
5.99999e-06 9.6845e-05
5.99999e-06 9.70697e-05
5.99999e-06 9.72944e-05
5.99999e-06 9.75191e-05
5.99999e-06 9.77438e-05
5.99999e-06 9.79685e-05
5.99999e-06 9.81932e-05
5.99999e-06 9.84179e-05
5.99999e-06 9.86426e-05
5.99999e-06 9.88673e-05
5.99999e-06 9.9092e-05
5.99999e-06 9.93167e-05
5.99999e-06 9.95414e-05
5.99999e-06 9.97661e-05
5.99999e-06 9.99908e-05
5.99999e-06 0.000100216
5.99999e-06 0.00010044
5.99999e-06 0.000100665
5.99999e-06 0.00010089
5.99999e-06 0.000101114
5.99999e-06 0.000101339
5.99999e-06 0.000101564
5.99999e-06 0.000101788
5.99999e-06 0.000102013
5.99999e-06 0.000102238
5.99999e-06 0.000102463
5.99999e-06 0.000102687
5.99999e-06 0.000102912
5.99999e-06 0.000103137
